contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,Type,Ticker
NVDA250314C00109000,2025-03-07 20:57:13+00:00,109.0,6.1,6.05,6.2,0.6500001,11.926608,12078.0,1746,0.708010732421875,True,REGULAR,USD,Call,NVDA
NVDA250314C00110000,2025-03-07 20:59:50+00:00,110.0,5.45,5.4,5.5,0.5499997,11.2244835,36712.0,6598,0.6958038232421876,True,REGULAR,USD,Call,NVDA
NVDA250314C00111000,2025-03-07 20:59:50+00:00,111.0,4.85,4.8,4.85,0.4499998,10.227268,20242.0,4143,0.6857941577148439,True,REGULAR,USD,Call,NVDA
NVDA250314C00112000,2025-03-07 20:59:47+00:00,112.0,4.27,4.2,4.35,0.3499999,8.928569,37933.0,7157,0.6823762231445314,True,REGULAR,USD,Call,NVDA
NVDA250314C00113000,2025-03-07 20:59:58+00:00,113.0,3.75,3.7,3.8,0.3499999,10.294115,33969.0,6087,0.6762727685546877,False,REGULAR,USD,Call,NVDA
NVDA250314C00114000,2025-03-07 20:59:32+00:00,114.0,3.25,3.2,3.3,0.20000005,6.557379,23616.0,4793,0.6677279321289065,False,REGULAR,USD,Call,NVDA
NVDA250314C00115000,2025-03-07 20:59:58+00:00,115.0,2.83,2.82,2.85,0.17999983,6.792446,63450.0,10773,0.6667513793945314,False,REGULAR,USD,Call,NVDA
NVDA250314C00116000,2025-03-07 20:59:59+00:00,116.0,2.45,2.43,2.47,0.16000009,6.986903,50340.0,4619,0.6640658593750002,False,REGULAR,USD,Call,NVDA
NVDA250314C00117000,2025-03-07 20:59:59+00:00,117.0,2.1,2.09,2.13,0.109999895,5.527633,19109.0,16810,0.6626010302734376,False,REGULAR,USD,Call,NVDA
NVDA250314C00118000,2025-03-07 20:59:58+00:00,118.0,1.79,1.78,1.8,0.06999993,4.069763,30868.0,13119,0.65820654296875,False,REGULAR,USD,Call,NVDA
NVDA250314C00119000,2025-03-07 20:59:56+00:00,119.0,1.53,1.52,1.56,0.059999943,4.081629,13911.0,6982,0.6606479248046876,False,REGULAR,USD,Call,NVDA
NVDA250314C00120000,2025-03-07 20:59:58+00:00,120.0,1.3,1.29,1.31,0.00999999,0.775193,95337.0,33656,0.6586948193359375,False,REGULAR,USD,Call,NVDA
NVDA250314C00121000,2025-03-07 20:59:58+00:00,121.0,1.09,1.1,1.13,-0.00999999,-0.90909004,14974.0,30091,0.6626010302734376,False,REGULAR,USD,Call,NVDA
NVDA250314C00122000,2025-03-07 20:59:51+00:00,122.0,0.93,0.94,0.95,0.0,0.0,19168.0,11202,0.6640658593750002,False,REGULAR,USD,Call,NVDA
NVDA250314C00123000,2025-03-07 20:59:58+00:00,123.0,0.81,0.8,0.83,0.01999998,2.531643,8896.0,7303,0.6709017285156251,False,REGULAR,USD,Call,NVDA
NVDA250314C00124000,2025-03-07 20:59:59+00:00,124.0,0.7,0.68,0.7,0.00999999,1.449274,43065.0,9291,0.6738313867187502,False,REGULAR,USD,Call,NVDA
NVDA250314C00125000,2025-03-07 20:59:54+00:00,125.0,0.59,0.59,0.6,0.0,0.0,47760.0,57958,0.6806672558593752,False,REGULAR,USD,Call,NVDA
NVDA250314C00126000,2025-03-07 20:59:57+00:00,126.0,0.52,0.51,0.52,0.01999998,3.9999962,6204.0,26125,0.6884796777343751,False,REGULAR,USD,Call,NVDA
NVDA250314C00127000,2025-03-07 20:59:39+00:00,127.0,0.46,0.44,0.46,0.030000001,6.9767447,20274.0,18548,0.6972686523437501,False,REGULAR,USD,Call,NVDA
NVDA250314C00128000,2025-03-07 20:59:40+00:00,128.0,0.4,0.39,0.4,0.01000002,2.564108,4082.0,7504,0.7070341796875,False,REGULAR,USD,Call,NVDA
NVDA250314C00129000,2025-03-07 20:59:46+00:00,129.0,0.35,0.34,0.36,0.01999998,6.0606,2524.0,7875,0.7187528125,False,REGULAR,USD,Call,NVDA
NVDA250314C00130000,2025-03-07 20:59:43+00:00,130.0,0.31,0.31,0.32,0.02000001,6.8965554,35546.0,43891,0.7314479980468749,False,REGULAR,USD,Call,NVDA
NVDA250314C00131000,2025-03-07 20:59:34+00:00,131.0,0.28,0.27,0.29,0.030000001,12.0,3884.0,32956,0.7421900781249999,False,REGULAR,USD,Call,NVDA
NVDA250314C00132000,2025-03-07 20:58:19+00:00,132.0,0.26,0.25,0.26,0.03999999,18.181814,5948.0,6725,0.75586181640625,False,REGULAR,USD,Call,NVDA
NVDA250314C00133000,2025-03-07 20:59:02+00:00,133.0,0.24,0.23,0.24,0.03999999,19.999996,4757.0,8618,0.77148666015625,False,REGULAR,USD,Call,NVDA
NVDA250314C00134000,2025-03-07 20:57:23+00:00,134.0,0.21,0.2,0.22,0.029999986,16.666658,4081.0,5049,0.7812521875,False,REGULAR,USD,Call,NVDA
NVDA250314C00135000,2025-03-07 20:59:33+00:00,135.0,0.19,0.19,0.2,0.030000001,18.750002,7889.0,54165,0.79687703125,False,REGULAR,USD,Call,NVDA
NVDA250314C00136000,2025-03-07 20:58:34+00:00,136.0,0.19,0.17,0.19,0.03999999,26.666658,1695.0,21157,0.8105487695312499,False,REGULAR,USD,Call,NVDA
NVDA250314C00137000,2025-03-07 20:59:48+00:00,137.0,0.16,0.16,0.18,0.00999999,6.6666603,1386.0,5606,0.8281267187499999,False,REGULAR,USD,Call,NVDA
NVDA250314C00138000,2025-03-07 20:48:01+00:00,138.0,0.15,0.15,0.16,0.02000001,15.3846245,1269.0,10494,0.8398453515625,False,REGULAR,USD,Call,NVDA
NVDA250314C00139000,2025-03-07 20:56:43+00:00,139.0,0.15,0.14,0.15,0.030000009,25.00001,3997.0,7955,0.8535170898437501,False,REGULAR,USD,Call,NVDA
NVDA250314C00140000,2025-03-07 20:59:35+00:00,140.0,0.14,0.13,0.14,0.04,39.999996,7176.0,23385,0.867188828125,False,REGULAR,USD,Call,NVDA
NVDA250314C00141000,2025-03-07 20:59:11+00:00,141.0,0.12,0.12,0.13,0.019999996,19.999996,6089.0,4303,0.8789074609374999,False,REGULAR,USD,Call,NVDA
NVDA250314C00142000,2025-03-07 20:56:57+00:00,142.0,0.12,0.11,0.13,0.019999996,19.999996,11985.0,4628,0.8964854101562498,False,REGULAR,USD,Call,NVDA
NVDA250314C00143000,2025-03-07 20:59:32+00:00,143.0,0.11,0.1,0.12,0.019999996,22.222216,2012.0,7735,0.9062509375,False,REGULAR,USD,Call,NVDA
NVDA250314C00144000,2025-03-07 20:58:18+00:00,144.0,0.1,0.1,0.11,0.020000003,25.000006,1530.0,9076,0.92187578125,False,REGULAR,USD,Call,NVDA
NVDA250314C00145000,2025-03-07 20:58:56+00:00,145.0,0.09,0.09,0.1,0.010000005,12.500008,7282.0,13088,0.929688203125,False,REGULAR,USD,Call,NVDA
NVDA250314C00146000,2025-03-07 20:55:27+00:00,146.0,0.09,0.08,0.1,0.030000005,50.00001,2733.0,1730,0.945313046875,False,REGULAR,USD,Call,NVDA
NVDA250314C00147000,2025-03-07 20:57:38+00:00,147.0,0.09,0.08,0.1,0.020000003,28.571432,2702.0,4047,0.9648441015625,False,REGULAR,USD,Call,NVDA
NVDA250314C00148000,2025-03-07 20:59:34+00:00,148.0,0.09,0.07,0.09,0.030000005,50.00001,4469.0,2212,0.9687503125,False,REGULAR,USD,Call,NVDA
NVDA250314C00149000,2025-03-07 20:47:56+00:00,149.0,0.07,0.07,0.09,0.02,39.999996,1202.0,1146,0.9882813671875,False,REGULAR,USD,Call,NVDA
NVDA250314C00150000,2025-03-07 20:57:46+00:00,150.0,0.07,0.06,0.08,0.02,39.999996,4605.0,12000,0.992187578125,False,REGULAR,USD,Call,NVDA
NVDA250314C00152500,2025-03-07 20:36:47+00:00,152.5,0.06,0.05,0.07,0.009999998,19.999996,2320.0,3586,1.01953615234375,False,REGULAR,USD,Call,NVDA
NVDA250314C00155000,2025-03-07 20:53:08+00:00,155.0,0.05,0.04,0.06,0.010000002,25.000006,1157.0,16076,1.0429735351562504,False,REGULAR,USD,Call,NVDA
NVDA250314C00157500,2025-03-07 20:26:18+00:00,157.5,0.05,0.04,0.05,0.010000002,25.000006,1357.0,2694,1.0703171484375003,False,REGULAR,USD,Call,NVDA
NVDA250314C00160000,2025-03-07 20:47:36+00:00,160.0,0.03,0.03,0.04,0.01,50.0,5017.0,5758,1.0859420703125,False,REGULAR,USD,Call,NVDA
NVDA250314C00162500,2025-03-07 20:44:12+00:00,162.5,0.03,0.03,0.04,0.01,50.0,991.0,2155,1.125004375,False,REGULAR,USD,Call,NVDA
NVDA250314C00165000,2025-03-07 20:58:51+00:00,165.0,0.03,0.02,0.03,0.0,0.0,4632.0,6304,1.125004375,False,REGULAR,USD,Call,NVDA
NVDA250314C00170000,2025-03-07 20:55:10+00:00,170.0,0.01,0.01,0.02,0.0,0.0,4173.0,6375,1.140629296875,False,REGULAR,USD,Call,NVDA
NVDA250314C00175000,2025-03-07 20:46:06+00:00,175.0,0.02,0.01,0.02,0.0,0.0,305.0,2850,1.21875390625,False,REGULAR,USD,Call,NVDA
NVDA250314C00180000,2025-03-07 20:28:59+00:00,180.0,0.01,0.0,0.02,0.0,0.0,1179.0,2620,1.2343788281249999,False,REGULAR,USD,Call,NVDA
NVDA250314C00185000,2025-03-07 16:37:51+00:00,185.0,0.01,0.0,0.01,0.0,0.0,7.0,1922,1.21875390625,False,REGULAR,USD,Call,NVDA
NVDA250314C00190000,2025-03-07 20:10:10+00:00,190.0,0.01,0.0,0.01,0.0,0.0,2.0,2621,1.2812535937499998,False,REGULAR,USD,Call,NVDA
NVDA250314C00195000,2025-02-28 20:45:14+00:00,195.0,0.01,0.0,0.01,0.0,0.0,791.0,925,1.3437532812499997,False,REGULAR,USD,Call,NVDA
NVDA250314C00200000,2025-03-07 18:14:53+00:00,200.0,0.01,0.0,0.01,0.0,0.0,4.0,2238,1.40625296875,False,REGULAR,USD,Call,NVDA
NVDA250314C00205000,2025-03-04 16:58:21+00:00,205.0,0.01,0.0,0.01,0.0,0.0,4.0,469,1.4375028125,False,REGULAR,USD,Call,NVDA
NVDA250314C00210000,2025-03-03 19:03:55+00:00,210.0,0.01,0.0,0.01,0.0,0.0,1.0,229,1.5000025,False,REGULAR,USD,Call,NVDA
NVDA250314C00215000,2025-02-28 20:42:58+00:00,215.0,0.01,0.0,0.01,0.0,0.0,10.0,404,1.5625021874999998,False,REGULAR,USD,Call,NVDA
NVDA250314C00220000,2025-03-07 18:15:17+00:00,220.0,0.01,0.0,0.01,-0.01,-50.0,1.0,112,1.625001875,False,REGULAR,USD,Call,NVDA
NVDA250314C00225000,2025-03-07 20:16:27+00:00,225.0,0.01,0.0,0.01,0.0,0.0,3.0,194,1.65625171875,False,REGULAR,USD,Call,NVDA
NVDA250314C00230000,2025-03-04 19:13:33+00:00,230.0,0.01,0.0,0.01,0.0,0.0,1.0,843,1.6875015625,False,REGULAR,USD,Call,NVDA
NVDA250314C00235000,2025-02-28 16:07:55+00:00,235.0,0.01,0.0,0.01,0.0,0.0,10.0,305,1.75000125,False,REGULAR,USD,Call,NVDA
NVDA250314C00240000,2025-03-06 14:41:23+00:00,240.0,0.01,0.0,0.01,0.0,0.0,3.0,770,1.8125009374999999,False,REGULAR,USD,Call,NVDA
NVDA250314P00050000,2025-03-07 20:58:24+00:00,50.0,0.01,0.0,0.01,0.0,0.0,448.0,7067,2.0625048437499998,False,REGULAR,USD,Put,NVDA
NVDA250314P00055000,2025-03-07 20:57:00+00:00,55.0,0.01,0.0,0.01,0.0,0.0,8226.0,7513,1.8125009374999999,False,REGULAR,USD,Put,NVDA
NVDA250314P00060000,2025-03-07 20:30:46+00:00,60.0,0.01,0.01,0.02,0.0,0.0,4746.0,4875,1.765626171875,False,REGULAR,USD,Put,NVDA
NVDA250314P00065000,2025-03-07 20:56:59+00:00,65.0,0.02,0.01,0.02,-0.01,-33.333336,12026.0,35454,1.5625021874999998,False,REGULAR,USD,Put,NVDA
NVDA250314P00070000,2025-03-07 20:58:51+00:00,70.0,0.02,0.02,0.03,-0.01,-33.333336,3659.0,34899,1.4375028125,False,REGULAR,USD,Put,NVDA
NVDA250314P00075000,2025-03-07 20:47:58+00:00,75.0,0.05,0.03,0.05,-0.009999998,-16.666664,1471.0,5770,1.3125034374999998,False,REGULAR,USD,Put,NVDA
NVDA250314P00080000,2025-03-07 20:59:12+00:00,80.0,0.06,0.05,0.06,-0.040000003,-40.000004,3210.0,18368,1.171879140625,False,REGULAR,USD,Put,NVDA
NVDA250314P00085000,2025-03-07 20:58:51+00:00,85.0,0.09,0.08,0.09,-0.06999999,-43.749996,3689.0,5075,1.0468797656250002,False,REGULAR,USD,Put,NVDA
NVDA250314P00090000,2025-03-07 20:59:39+00:00,90.0,0.14,0.14,0.15,-0.17999999,-56.25,11167.0,10581,0.937500625,False,REGULAR,USD,Put,NVDA
NVDA250314P00095000,2025-03-07 20:59:07+00:00,95.0,0.27,0.26,0.28,-0.35,-56.451614,8812.0,15179,0.84179845703125,False,REGULAR,USD,Put,NVDA
NVDA250314P00100000,2025-03-07 20:59:48+00:00,100.0,0.56,0.55,0.57,-0.66,-54.098362,48571.0,36732,0.7641625146484375,False,REGULAR,USD,Put,NVDA
NVDA250314P00105000,2025-03-07 20:59:54+00:00,105.0,1.26,1.24,1.27,-1.0899999,-46.382977,27572.0,18749,0.7138700488281251,False,REGULAR,USD,Put,NVDA
NVDA250314P00107000,2025-03-07 20:59:44+00:00,107.0,1.7,1.69,1.73,-1.3399999,-44.078945,11815.0,4372,0.6972686523437501,False,REGULAR,USD,Put,NVDA
NVDA250314P00108000,2025-03-07 20:59:45+00:00,108.0,2.0,1.97,2.01,-1.3900001,-41.002953,16963.0,5038,0.6904327832031252,False,REGULAR,USD,Put,NVDA
NVDA250314P00109000,2025-03-07 20:59:43+00:00,109.0,2.29,2.29,2.33,-1.51,-39.736843,13585.0,3522,0.684573466796875,False,REGULAR,USD,Put,NVDA
NVDA250314P00110000,2025-03-07 20:59:54+00:00,110.0,2.65,2.63,2.68,-1.5699997,-37.203785,39023.0,20933,0.6765169067382814,False,REGULAR,USD,Put,NVDA
NVDA250314P00111000,2025-03-07 20:59:56+00:00,111.0,3.08,3.0,3.05,-1.6599998,-35.021095,12129.0,4070,0.666263103027344,False,REGULAR,USD,Put,NVDA
NVDA250314P00112000,2025-03-07 20:59:58+00:00,112.0,3.49,3.45,3.55,-1.6600001,-32.233013,13951.0,9672,0.6674837939453127,False,REGULAR,USD,Put,NVDA
NVDA250314P00113000,2025-03-07 20:59:48+00:00,113.0,3.98,3.9,4.0,-1.82,-31.3793,5302.0,5395,0.657229990234375,True,REGULAR,USD,Put,NVDA
NVDA250314P00114000,2025-03-07 20:59:24+00:00,114.0,4.49,4.4,4.55,-1.8100004,-28.730165,4668.0,3909,0.6528355029296876,True,REGULAR,USD,Put,NVDA
NVDA250314P00115000,2025-03-07 20:59:44+00:00,115.0,5.05,4.95,5.1,-1.9499998,-27.85714,8409.0,10831,0.6455113574218749,True,REGULAR,USD,Put,NVDA
NVDA250314P00116000,2025-03-07 20:58:08+00:00,116.0,5.62,5.55,5.75,-2.04,-26.631853,1906.0,2406,0.6440465283203125,True,REGULAR,USD,Put,NVDA
NVDA250314P00117000,2025-03-07 20:59:54+00:00,117.0,6.3,6.25,6.4,-2.0500002,-24.5509,2771.0,4026,0.6447789428710937,True,REGULAR,USD,Put,NVDA
NVDA250314P00118000,2025-03-07 20:59:50+00:00,118.0,7.05,6.9,7.1,-2.0299997,-22.356827,23882.0,5409,0.6381872119140625,True,REGULAR,USD,Put,NVDA
NVDA250314P00119000,2025-03-07 20:59:59+00:00,119.0,7.75,7.65,7.85,-2.0500002,-20.91837,2395.0,11801,0.639652041015625,True,REGULAR,USD,Put,NVDA
NVDA250314P00120000,2025-03-07 20:58:53+00:00,120.0,8.45,8.45,8.6,-2.0500002,-19.523811,4905.0,17832,0.639652041015625,True,REGULAR,USD,Put,NVDA
NVDA250314P00121000,2025-03-07 20:59:11+00:00,121.0,9.25,9.3,9.4,-2.1400003,-18.788414,621.0,2957,0.6445348046875,True,REGULAR,USD,Put,NVDA
NVDA250314P00122000,2025-03-07 20:59:26+00:00,122.0,10.1,10.0,10.3,-1.8999996,-15.83333,892.0,13127,0.6367223828125,True,REGULAR,USD,Put,NVDA
NVDA250314P00123000,2025-03-07 20:49:28+00:00,123.0,10.85,10.9,11.15,-2.3099995,-17.553188,460.0,40856,0.6425816992187501,True,REGULAR,USD,Put,NVDA
NVDA250314P00124000,2025-03-07 20:58:57+00:00,124.0,11.8,11.75,12.05,-1.71,-12.65729,415.0,42572,0.6420934228515626,True,REGULAR,USD,Put,NVDA
NVDA250314P00125000,2025-03-07 20:54:40+00:00,125.0,12.8,12.65,12.95,-2.0500002,-13.804714,1664.0,22847,0.6445348046875,True,REGULAR,USD,Put,NVDA
NVDA250314P00126000,2025-03-07 20:57:59+00:00,126.0,13.69,13.6,13.9,-2.1600008,-13.627765,485.0,6028,0.6601596484375001,True,REGULAR,USD,Put,NVDA
NVDA250314P00127000,2025-03-07 20:11:37+00:00,127.0,14.65,14.5,14.85,-1.960001,-11.800126,1419.0,3157,0.6621127539062501,True,REGULAR,USD,Put,NVDA
NVDA250314P00128000,2025-03-07 20:30:41+00:00,128.0,15.69,15.45,15.8,-2.1000013,-11.804392,2286.0,9029,0.6709017285156251,True,REGULAR,USD,Put,NVDA
NVDA250314P00129000,2025-03-07 20:43:46+00:00,129.0,17.51,16.4,16.75,-1.1999989,-6.4136767,186.0,2510,0.6748079394531252,True,REGULAR,USD,Put,NVDA
NVDA250314P00130000,2025-03-07 20:59:48+00:00,130.0,17.57,17.4,17.7,-2.0900002,-10.630723,1324.0,8399,0.6904327832031252,True,REGULAR,USD,Put,NVDA
NVDA250314P00131000,2025-03-07 20:08:56+00:00,131.0,18.62,18.35,18.7,-1.8299999,-8.948655,69.0,1131,0.70312796875,True,REGULAR,USD,Put,NVDA
NVDA250314P00132000,2025-03-07 20:49:14+00:00,132.0,19.92,19.3,19.65,-1.289999,-6.082032,115.0,1311,0.6953155468750001,True,REGULAR,USD,Put,NVDA
NVDA250314P00133000,2025-03-07 20:29:26+00:00,133.0,20.37,20.3,20.65,-1.9299984,-8.654701,157.0,1439,0.7216824707031251,True,REGULAR,USD,Put,NVDA
NVDA250314P00134000,2025-03-07 20:18:16+00:00,134.0,21.81,21.25,21.65,-1.3900013,-5.991385,103.0,1016,0.726565234375,True,REGULAR,USD,Put,NVDA
NVDA250314P00135000,2025-03-07 20:46:07+00:00,135.0,23.09,22.25,22.6,-1.1299992,-4.665562,4296.0,7219,0.726565234375,True,REGULAR,USD,Put,NVDA
NVDA250314P00136000,2025-03-07 19:20:14+00:00,136.0,24.28,23.15,23.6,-0.9699993,-3.8415816,19.0,678,0.6875031250000001,True,REGULAR,USD,Put,NVDA
NVDA250314P00137000,2025-03-07 20:24:55+00:00,137.0,24.55,24.25,24.6,-1.6700001,-6.369184,118.0,997,0.7753928710937501,True,REGULAR,USD,Put,NVDA
NVDA250314P00138000,2025-03-07 20:40:24+00:00,138.0,25.99,25.2,25.55,-1.2299995,-4.5187345,122.0,1750,0.73437765625,True,REGULAR,USD,Put,NVDA
NVDA250314P00139000,2025-03-07 20:49:18+00:00,139.0,26.3,26.2,26.55,-1.9500008,-6.9026575,14.0,1833,0.75586181640625,True,REGULAR,USD,Put,NVDA
NVDA250314P00140000,2025-03-07 20:37:01+00:00,140.0,27.98,27.2,27.55,-1.2000008,-4.112408,453.0,983,0.7773459765625,True,REGULAR,USD,Put,NVDA
NVDA250314P00141000,2025-03-07 20:54:52+00:00,141.0,28.48,28.1,28.55,-1.0200005,-3.4576285,11.0,158,0.6718782812500002,True,REGULAR,USD,Put,NVDA
NVDA250314P00142000,2025-03-07 15:18:24+00:00,142.0,30.44,29.05,29.55,-0.9599991,-3.057322,10.0,55,1.0078174609375,True,REGULAR,USD,Put,NVDA
NVDA250314P00143000,2025-03-07 14:40:11+00:00,143.0,30.93,30.05,30.55,-0.36999893,-1.1821052,1.0,166,1.0332079589843752,True,REGULAR,USD,Put,NVDA
NVDA250314P00144000,2025-03-07 15:01:56+00:00,144.0,33.7,31.05,31.55,0.9000015,2.743907,4.0,7,1.056645341796875,True,REGULAR,USD,Put,NVDA
NVDA250314P00145000,2025-03-07 16:57:11+00:00,145.0,34.75,32.1,32.55,1.5900002,4.794934,11.0,51,0.7421900781249999,True,REGULAR,USD,Put,NVDA
NVDA250314P00146000,2025-03-07 20:31:59+00:00,146.0,33.4,33.05,33.5,-1.699997,-4.8432965,31.0,2,1.0605515722656251,True,REGULAR,USD,Put,NVDA
NVDA250314P00147000,2025-03-07 18:17:31+00:00,147.0,36.07,34.05,34.5,-0.13000107,-0.35911897,1.0,27,1.083988955078125,True,REGULAR,USD,Put,NVDA
NVDA250314P00148000,2025-03-07 18:17:31+00:00,148.0,37.09,35.05,35.5,-0.0600014,-0.161511,1.0,8,1.1054732226562503,True,REGULAR,USD,Put,NVDA
NVDA250314P00149000,2025-03-06 20:44:31+00:00,149.0,39.55,36.05,36.5,1.4500008,3.8057764,45.0,6,1.126957490234375,True,REGULAR,USD,Put,NVDA
NVDA250314P00150000,2025-03-07 15:27:46+00:00,150.0,38.65,37.05,37.5,0.05000305,0.12954159,13.0,20,1.150394873046875,True,REGULAR,USD,Put,NVDA
NVDA250314P00152500,2025-03-07 20:32:22+00:00,152.5,39.86,39.5,40.0,-1.5900002,-3.835947,10.0,8,1.203128984375,True,REGULAR,USD,Put,NVDA
NVDA250314P00155000,2025-03-07 18:35:03+00:00,155.0,44.55,42.05,42.5,0.8199997,1.8751422,13.0,0,1.255863095703125,True,REGULAR,USD,Put,NVDA
NVDA250314P00157500,2025-03-06 19:46:09+00:00,157.5,46.5,44.5,45.0,0.20000076,0.4319671,4.0,0,1.3066440917968747,True,REGULAR,USD,Put,NVDA
NVDA250314P00160000,2025-03-06 19:41:48+00:00,160.0,47.61,47.05,47.5,-1.6399994,-3.329948,19.0,4,1.3574250878906249,True,REGULAR,USD,Put,NVDA
NVDA250314P00162500,2025-03-06 20:03:40+00:00,162.5,51.15,49.5,50.0,0.0,0.0,71.0,2,1.40625296875,True,REGULAR,USD,Put,NVDA
NVDA250314P00165000,2025-03-05 19:47:15+00:00,165.0,47.85,52.05,52.5,0.0,0.0,8.0,3,1.453127734375,True,REGULAR,USD,Put,NVDA
NVDA250314P00170000,2025-03-07 20:07:11+00:00,170.0,57.95,57.05,57.5,-1.1499977,-1.9458506,14.0,12,1.5468772656249998,True,REGULAR,USD,Put,NVDA
NVDA250314P00175000,2025-02-27 17:22:02+00:00,175.0,48.5,62.05,62.5,0.0,0.0,67.0,0,1.6367205664062499,True,REGULAR,USD,Put,NVDA
NVDA250314P00180000,2025-03-07 20:55:10+00:00,180.0,67.12,67.05,67.5,26.190002,63.987305,1.0,0,1.720704521484375,True,REGULAR,USD,Put,NVDA
NVDA250314P00185000,2025-02-25 16:30:55+00:00,185.0,58.9,72.05,72.5,0.0,0.0,,0,1.8046884765624998,True,REGULAR,USD,Put,NVDA
NVDA250314P00190000,2025-02-26 16:22:37+00:00,190.0,57.55,77.05,77.5,0.0,0.0,,0,1.8828130859374999,True,REGULAR,USD,Put,NVDA
NVDA250314P00195000,2025-01-31 19:09:41+00:00,195.0,72.0,0.0,0.0,0.0,0.0,2.0,0,1.0000000000000003e-05,True,REGULAR,USD,Put,NVDA
NVDA250314P00215000,2025-02-12 15:19:23+00:00,215.0,83.75,102.05,102.5,0.0,0.0,,0,2.2421918945312496,True,REGULAR,USD,Put,NVDA
NVDA250314P00225000,2025-02-27 17:51:10+00:00,225.0,98.29,112.05,112.5,0.0,0.0,,0,2.373050942382812,True,REGULAR,USD,Put,NVDA
NVDA250314P00235000,2025-02-26 14:51:16+00:00,235.0,104.3,122.05,122.5,0.0,0.0,,0,2.496097509765625,True,REGULAR,USD,Put,NVDA
NVDA250314P00240000,2025-02-26 17:00:20+00:00,240.0,108.15,127.05,127.5,0.0,0.0,,0,2.5546911132812498,True,REGULAR,USD,Put,NVDA
